機關名稱,OID,電話,地址,DN,,,,,,,,,
內政部消防署高雄港務消防隊,2.16.886.101.20003.20001.20003.20003,07-5622601,高雄市鼓山區臨海新路25號,ou=高雄港務消防隊,ou=消防署,ou=內政部,o=行政院,c=TW,,,,,
內政部消防署花蓮港務消防隊,2.16.886.101.20003.20001.20003.20004,03-8230103,花蓮市港口路25號,ou=花蓮港務消防隊,ou=消防署,ou=內政部,o=行政院,c=TW,,,,,
內政部役政署,2.16.886.101.20003.20001.20004,049-2394488,南投縣南投市中興新村光明路21號,ou=役政署,ou=內政部,o=行政院,c=TW,,,,,,
內政部建築研究所,2.16.886.101.20003.20001.20005,02-89127890,新北市新店區北新路3段200號13樓,ou=建築研究所,ou=內政部,o=行政院,c=TW,,,,,,
中央警察大學,2.16.886.101.20003.20001.20009,03-3282321,桃園縣龜山鄉大崗村56號,ou=中央警察大學,ou=內政部,o=行政院,c=TW,,,,,,
外交部,2.16.886.101.20003.20002,02-23482999,台北市凱達格蘭大道2號,ou=外交部,o=行政院,c=TW,,,,,,,
外交部領事事務局,2.16.886.101.20003.20002.20001,02-23432888,台北市濟南路1段2-2號5樓,ou=領事事務局,ou=外交部,o=行政院,c=TW,,,,,,
國防部,2.16.886.101.20003.20003,,,ou=國防部,o=行政院,c=TW,,,,,,,
中正國防幹部預備學校,2.16.886.101.20003.20003.20026,,,ou=中正國防幹部預備學校,ou=國防部,o=行政院,c=TW,,,,,,
國防大學,2.16.886.101.20003.20003.20029,,,ou=國防大學,ou=國防部,o=行政院,c=TW,,,,,,
財政部,2.16.886.101.20003.20004,02-23228000,台北市愛國西路2號,ou=財政部,o=行政院,c=TW,,,,,,,
財政部國庫署,2.16.886.101.20003.20004.20001,02-23228000,台北市愛國西路2號3樓,ou=國庫署,ou=財政部,o=行政院,c=TW,,,,,,
財政部賦稅署,2.16.886.101.20003.20004.20002,02-23228000,台北市愛國西路2號,ou=賦稅署,ou=財政部,o=行政院,c=TW,,,,,,
財政部賦稅署貨物稅評價委員會,2.16.886.101.20003.20004.20002.20001,23228000,台北市愛國西路2號2樓,ou=貨物稅評價委員會,ou=賦稅署,ou=財政部,o=行政院,c=TW,,,,,
中國輸出入銀行,2.16.886.101.20003.20004.20009,02-23210511,台北市南海路3號8樓,ou=中國輸出入銀行,ou=財政部,o=行政院,c=TW,,,,,,
中國輸出入銀行高雄分行,2.16.886.101.20003.20004.20009.20001,07-2241921,高雄市中正二路74號8樓,ou=高雄分行,ou=中國輸出入銀行,ou=財政部,o=行政院,c=TW,,,,,
中國輸出入銀行臺中分行,2.16.886.101.20003.20004.20009.20002,04-23225156,台中市臺中港路2段1-18號5樓,ou=臺中分行,ou=中國輸出入銀行,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司,2.16.886.101.20003.20004.20026,02-23214567,台北市南昌路1段4號,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,,
臺灣菸酒股份有限公司臺北營業處,2.16.886.101.20003.20004.20026.20001,02-87725120,台北市八德路2段85號,ou=臺北營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司板橋營業處,2.16.886.101.20003.20004.20026.20002,02-29547919,台北縣板橋市中山路1段139號,ou=板橋營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司桃園營業處,2.16.886.101.20003.20004.20026.20003,03-3385725,桃園市民生路664號,ou=桃園營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
臺灣菸酒股份有限公司臺中營業處,2.16.886.101.20003.20004.20026.20005,04-22222031,台中市復興路3段364號,ou=臺中營業處,ou=臺灣菸酒股份有限公司,ou=財政部,o=行政院,c=TW,,,,,
